ID,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net ,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
463,Ankara,Çankaya,Ata,4094-1432,11-04-2023,5,195,1,15,Kombi,4,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100,,"15,000",Doğalgaz,Evet,"14,500",,,,,
464,Ankara,Çankaya,Kazım Özalp,4537-9623,08-04-2023,2,65,1,35,Merkezi,2,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğu,,Doğalgaz,Evet,"15,000",,,,,
465,Ankara,Yenimahalle,Ergenekon,121475-86,04-04-2023,3,85,Yüksek Giriş,16,Merkezi (Pay Ölçer),7,,1,,,Boş,,"Güney, Doğu",,,,"9,000",Barbaros Sitesi,Uygun değil,,,
466,Ankara,Çankaya,İlkbahar,4337-3338,11-04-2023,2,60,2,6,Merkezi,10,,1,Betonarme,İkinci El,,600,Güney,"14,000",Doğalgaz,Evet,"14,000",,,,,
467,Ankara,Çankaya,Osman Temiz,5235-9335,08-04-2023,4,115,Kot 1,22,Kombi,3,Eşyalı,1,Betonarme,İkinci El,Boş,100,,"10,000",Doğalgaz,Evet,"9,300",,,,,
468,Ankara,Mamak,Durali Alıç,112265-1502,06-04-2023,4,135,3,7,Kombi,12,Eşyalı Değil,2,Betonarme,İkinci El,Boş,400,"Güney, Doğu","10,000",Doğalgaz,,"10,000",,,,,
469,Ankara,Mamak,Başak,124415-250,09-04-2023,4,165,5,5,Kombi,8,Eşyalı,2,Betonarme,İkinci El,Kiracılı,75,"Güney, Doğu","18,000",Doğalgaz,Evet,"8,750",,,,,
470,Ankara,Çankaya,Anıttepe,3053-2173,08-04-2023,3,85,4,40,Kombi,4,,1,Kagir,İkinci El,Boş,100,"Kuzey, Doğu","8,500",Doğalgaz,Evet,"8,500",,,,,
471,Ankara,Yenimahalle,Ragıp Tüzün,43936-12871,07-04-2023,4,130,Ara Kat,23,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50,"Güney, Doğu, Batı","16,500",Doğalgaz,Evet,"8,250",,,,,
472,Ankara,Etimesgut,Elvan,119882-3769,10-04-2023,3,90,Yüksek Giriş,15,Kombi,3,Eşyalı,1,Betonarme,İkinci El,Boş,,"Güney, Batı",,Doğalgaz,Evet,"7,500",,,,,
