,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Yakıt Tipi,Yetkili Ofis,Rent,Tapu Durumu,Takas,Kira Getirisi,Site İçerisinde
8946,Ankara,Çankaya,Koru,67182-598,10-04-2023,3 + 1,331 m2,,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,,"Kuzey, Doğu",Doğalgaz,Evet,18.000.000 TL,Kat Mülkiyeti,Hayır,,
8947,Ankara,Çankaya,İşçi Blokları,18346-1171,09-04-2023,3 + 1,130 m2,5. Kat,28 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,1.000 TL,"Güney, Batı",Doğalgaz,Evet,2.900.000 TL,Kat Mülkiyeti,Hayır,7.000 TL,
8948,Ankara,Çankaya,Alacaatlı,94790-803,08-04-2023,2 + 1,90 m2,6. Kat,1 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,560 TL,"Güney, Doğu",Doğalgaz,Evet,2.950.000 TL,Kat Mülkiyeti,Hayır,4.500 TL,
8949,Ankara,Çankaya,Kavaklıdere,112578-145,06-04-2023,2 + 1,110 m2,Yüksek Giriş,30 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,400 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,1.900.000 TL,Kat Mülkiyeti,Hayır,10.000 TL,
8950,Ankara,Altındağ,Aydınlıkevler,62574-2991,12-04-2023,3 + 1,120 m2,5. Kat,31 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,,Boş,,"Güney, Doğu, Batı",,,1.350.000 TL,Kat Mülkiyeti,Hayır,,
8951,Ankara,Etimesgut,Bağlıca,49714-1103,05-04-2023,2 + 1,125 m2,4. Kat,Sıfır Bina,Merkezi,8 Katlı,Uygun,,2,Betonarme,,,,,,Evet,3.900.000 TL,,,12.000 TL,
8952,Ankara,Çankaya,Ön Cebeci,47293-703,26-03-2023,2 + 1,90 m2,1. Kat,50 Yaşında,Merkezi,14 Katlı,Uygun değil,Eşyalı,1,Betonarme,,Kiracılı,1.000 TL,Doğu,Doğalgaz,Evet,1.900.000 TL,Kat Mülkiyeti,,4.500 TL,
8953,Ankara,Altındağ,Aydınlıkevler,17842-1426,11-04-2023,2 + 1,110 m2,Yüksek Giriş,40 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,,,,,,,,1.280.000 TL,,,,
8954,Ankara,Mamak,Mutlu,133310-80,26-03-2023,3 + 1,110 m2,En Üst Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kiracılı,75 TL,,Doğalgaz,Evet,1.500.000 TL,Kat Mülkiyeti,Hayır,5.000 TL,
8955,Ankara,Keçiören,İncirli,63290-993,19-03-2023,3 + 1,120 m2,2. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Kuzey, Batı",Doğalgaz,Evet,1.695.000 TL,Kat Mülkiyeti,Hayır,,
8956,Ankara,Gölbaşı,Karşıyaka,692542-350,10-04-2023,3 + 1,145 m2,Ara Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,35 TL,"Kuzey, Güney, Doğu, Batı",Doğalgaz,Evet,1.455.000 TL,Kat Mülkiyeti,Hayır,4.000 TL,
8957,Ankara,Çankaya,Harbiye,19037-6552,08-04-2023,2 + 1,110 m2,Yüksek Giriş,29 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,70 TL,Doğu,Doğalgaz,Evet,1.429.000 TL,Kat Mülkiyeti,Hayır,9.000 TL,
8958,Ankara,Yenimahalle,Anadolu,3182-5041,09-04-2023,5 + 1,260 m2,3. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,"Güney, Batı",Doğalgaz,Evet,1.950.000 TL,Kat Mülkiyeti,Hayır,10.000 TL,
