,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
1253,Ankara,Etimesgut,Bağlıca,97366-1350,04-04-2023,2 + 1,89 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),13 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,"Kuzey, Güney, Doğu, Batı",12.500 TL,Doğalgaz,Evet,12.750 TL,,,,,
1254,Ankara,Çankaya,Bahçelievler,15972-548,04-04-2023,3 + 1,135 m2,2. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.000 TL,"Güney, Doğu",20.500 TL,Doğalgaz,Evet,20.500 TL,,,,,
1255,Ankara,Yenimahalle,Kardelen,22551-942,10-04-2023,4 + 1,160 m2,,27 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,50 TL,"Güney, Batı",12.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
1256,Ankara,Çankaya,Bahçelievler,3584-27260,03-04-2023,3 + 1,125 m2,2. Kat,5 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Doğu, Batı",,Doğalgaz,Evet,17.500 TL,,,,,
1257,Ankara,Çankaya,Kazım Özalp,4537-9694,27-03-2023,1 + 1,65 m2,1. Kat,28 Yaşında,Merkezi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,"Doğu, Batı",15.000 TL,Doğalgaz,Evet,16.500 TL,,,,,
1258,Ankara,Çankaya,Sokullu Mehmet Paşa,8315-12601,09-04-2023,3 + 1,130 m2,En Üst Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,,100 TL,"Güney, Doğu, Batı",11.500 TL,Doğalgaz,Evet,10.000 TL,,,,,
1259,Ankara,Keçiören,Etlik,40508-1061,06-04-2023,4 + 1,165 m2,1. Kat,14 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Mülk Sahibi,100 TL,"Güney, Batı",13.500 TL,Doğalgaz,Evet,13.500 TL,,,,,
1260,Ankara,Polatlı,İstiklal,65106-1081,06-04-2023,4 + 1,180 m2,1. Kat,5 Yaşında,Kombi,12 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200 TL,"Güney, Batı",6.800 TL,Doğalgaz,,6.800 TL,,,,,
1261,Ankara,Çankaya,Anıttepe,126606-141,10-04-2023,2 + 1,135 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,300 TL,Batı,15.000 TL,Doğalgaz,Evet,15.000 TL,,,,,
1262,Ankara,Çankaya,Malazgirt,57012-6552,28-03-2023,4 + 1,250 m2,3. Kat,13 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,"Güney, Doğu",,Doğalgaz,Evet,14.250 TL,,,,,
1263,Ankara,Çankaya,Kızılırmak,122234-326,31-03-2023,5 + 1,426 m2,12. Kat,6 Yaşında,Fancoil Ünitesi,20 Katlı,Eşyalı,4,,,Boş,,"Kuzey, Güney, Batı",,,Evet,170.000 TL,,,,,
1264,Ankara,Mamak,Abidinpaşa,129644-7832,07-04-2023,3 + 1,125 m2,Bahçe Katı,15 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,"Güney, Doğu",,Doğalgaz,,5.750 TL,,,,,
1265,Ankara,Altındağ,Gültepe,96259-463,05-04-2023,2 + 1,100 m2,2. Kat,10 Yaşında,Kombi,13 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,200 TL,"Güney, Doğu",10.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
1266,Ankara,Etimesgut,Atayurt,97895-1381,29-03-2023,3 + 1,117 m2,10. Kat,10 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,400 TL,"Kuzey, Batı",6.900 TL,Doğalgaz,Evet,6.900 TL,,,,,
1267,Ankara,Altındağ,Aydınlıkevler,22633-3306,08-04-2023,3 + 1,100 m2,Giriş Katı,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,"Güney, Doğu, Batı",4.250 TL,Doğalgaz,Evet,4.250 TL,,,,,
1268,Ankara,Etimesgut,Şehit Osman Avcı,7928-3551,11-04-2023,1 + 1,60 m2,1. Kat,5 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,,Boş,600 TL,,,Doğalgaz,,10.000 TL,,,,,
1269,Ankara,Mamak,Tuzluçayır,110339-1026,22-03-2023,3 + 1,130 m2,Ara Kat,13 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Güney,,Doğalgaz,Evet,7.000 TL,,,,,
1270,Ankara,Çankaya,Emek,90447-276,10-04-2023,3 + 1,110 m2,2. Kat,35 Yaşında,Kombi,2 Katlı,Eşyalı,1,,,,50 TL,,,Doğalgaz,,13.400 TL,,,,,
