,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Site İçerisinde,Kira Getirisi,Yakıt Tipi,Rent,Yetkili Ofis,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Depozito
5502,Ankara,Çankaya,Birlik,58419-3477,08-04-2023,3 + 1,140 m2,Kot 1,18 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,150 TL,Hayır,Doğu,,5.500 TL,Doğalgaz,1.790.000 TL,Evet,,,,
5503,Ankara,Polatlı,Gazi,129186-341,03-04-2023,2 + 1,120 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,,,4.000 TL,Doğalgaz,649.000 TL,Evet,,,,
5504,Ankara,Pursaklar,Fatih,73018-4778,11-04-2023,4 + 1,135 m2,Yüksek Giriş,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,,Doğalgaz,1.519.000 TL,,,,,
5505,Ankara,Çankaya,İlkadım,36851-23367,12-04-2023,2 + 1,100 m2,4. Kat,26 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,900 TL,Hayır,"Doğu, Batı",,6.500 TL,Doğalgaz,2.100.000 TL,Evet,,,,
5506,Ankara,Pursaklar,Mimar Sinan,5430-1560,10-04-2023,4 + 1,175 m2,13. Kat,Sıfır Bina,Merkezi (Pay Ölçer),13 Katlı,Uygun,,2,,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,,,2.990.000 TL,Evet,,,,
5507,Ankara,Çankaya,İlkadım,22114-2362,13-04-2023,3 + 1,130 m2,2. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Doğu, Batı",,13.000 TL,Doğalgaz,2.599.000 TL,Evet,,,,
5508,Ankara,Pursaklar,Karşıyaka,1350-5765,13-04-2023,4 + 1,1.000 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,,Doğalgaz,5.650.000 TL,Evet,,,,
5509,Ankara,Sincan,Plevne,69365-3818,12-04-2023,3 + 1,130 m2,2. Kat,21 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,Betonarme,Mülk Sahibi,Kat Mülkiyeti,30 TL,Hayır,"Güney, Doğu",,5.500 TL,Doğalgaz,1.170.000 TL,,,,,
5510,Ankara,Altındağ,Battalgazi,130104-694,12-04-2023,2 + 1,100 m2,Giriş Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,,Doğalgaz,1.075.000 TL,Evet,,,,
5511,Ankara,Sincan,Tandoğan,130172-2567,10-04-2023,3 + 1,135 m2,3. Kat,16 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,Betonarme,Boş,Kat Mülkiyeti,50 TL,Hayır,"Güney, Doğu",,5.000 TL,Doğalgaz,1.035.000 TL,,,,,
